jsonl_file,lessons,raw_knowledge_items,quiz_or_fill_blank_items,matching_pairs,typing_passages,keywords
game_knowledge_jsonl/grade1/sgk-am-nhac-lop-1-thong-nhat-tu-nam-2026_107202616.jsonl,18,394,176,69,55,345
game_knowledge_jsonl/grade1/sgk-dao-duc-lop-1-thong-nhat-tu-nam-2026_107202616.jsonl,4,138,82,33,27,96
game_knowledge_jsonl/grade1/sgk-giao-duc-the-chat-lop-1-thong-nhat-tu-nam-2026_107202616.jsonl,52,645,199,64,93,699
game_knowledge_jsonl/grade1/sgk-hoat-dong-trai-nghiem-lop-1-thong-nhat-tu-nam-2026_107202616.jsonl,9,281,85,93,51,199
game_knowledge_jsonl/grade1/sgk-tieng-anh-lop-1-thong-nhat-tu-nam-2026_107202616.jsonl,45,377,156,10,40,675
game_knowledge_jsonl/grade1/sgk-tieng-viet-1-thong-nhat-tu-nam-2026-tap-1_107202616.jsonl,33,765,385,63,87,658
game_knowledge_jsonl/grade1/sgk-tieng-viet-1-thong-nhat-tu-nam-2026-tap-2_107202616.jsonl,66,1515,779,151,247,1217
game_knowledge_jsonl/grade1/sgk-toan-1-tu-nam-2026-tap-1_107202616.jsonl,18,387,232,52,50,353
game_knowledge_jsonl/grade1/sgk-toan-1-tu-nam-2026-tap-2_107202616.jsonl,23,644,348,58,87,505
game_knowledge_jsonl/grade1/sgk-tu-nhien-va-xa-hoi-lop-1-thong-nhat-tu-nam-2026_107202616.jsonl,10,362,202,81,62,230
game_knowledge_jsonl/grade2/amnhac2ketnoitrithucvoicuocsongd7bf0_5120269.jsonl,15,396,193,56,57,280
game_knowledge_jsonl/grade2/daoduc2-ketnoitrithucvoicuocsong90e92_5120269.jsonl,15,405,220,48,66,289
game_knowledge_jsonl/grade2/giaoducthechat2ketnoitrithucvoicuocsongba970_5120269.jsonl,54,757,276,111,117,822
game_knowledge_jsonl/grade2/hoatdongtrainghiem2ketnoitrithucvoicuocsongf88b0_5120269.jsonl,24,635,377,54,119,457
game_knowledge_jsonl/grade2/mithuat2ketnoitrithucvoicuocsong4102f_5120269.jsonl,16,359,161,74,58,286
game_knowledge_jsonl/grade2/tieng-viet-2-tap-1-ket-noi-tri-thuc-voi-cuoc-song6167f_5120269.jsonl,79,1697,1014,228,230,1303
game_knowledge_jsonl/grade2/tieng-viet-2-tap-2-ket-noi-tri-thuc-voi-cuoc-songeddfb_5120269.jsonl,63,1395,871,228,218,1097
game_knowledge_jsonl/grade2/toan-2-tap-1-ket-noi-tri-thuc-voi-cuoc-song56f30_5120269.jsonl,22,581,343,117,108,444
game_knowledge_jsonl/grade2/toan-2-tap-2-ket-noi-tri-thuc-voi-cuoc-song57e50_5120269.jsonl,8,239,136,77,46,168
game_knowledge_jsonl/grade3/giaoducthechat3ketnoitrithucvoicuocsonga224b_5120269.jsonl,60,710,244,102,106,738
game_knowledge_jsonl/grade3/hoatdongtrainghiem3-ketnoitrithucvoicuocsong59c05_5120269.jsonl,28,887,495,85,155,589
game_knowledge_jsonl/grade3/mithuat3-ketnoitrithucvoicuocsong6d553_5120269.jsonl,18,459,240,77,57,339
game_knowledge_jsonl/grade3/tienganh3tap1-ketnoitrithucvoicuocsongc46d7_5120269.jsonl,24,569,195,81,75,504
game_knowledge_jsonl/grade3/tienganh3tap2-ketnoitrithucvoicuocsongdb3f5_5120269.jsonl,36,646,240,68,103,722
game_knowledge_jsonl/grade3/tiengviet3tap1-ketnoitrithucvoicuocsongba2bc_5120269.jsonl,74,1842,1072,276,255,1327
game_knowledge_jsonl/grade3/tiengviet3tap2-ketnoitrithucvoicuocsong4350e_5120269.jsonl,71,1877,1137,363,256,1383
game_knowledge_jsonl/grade3/tinhoc3-ketnoitrithucvoicuocsongf436c_5120269.jsonl,19,543,319,155,76,340
game_knowledge_jsonl/grade3/toan3tap1ketnoitrithucvoicuocsongecdc3_5120269.jsonl,5,140,80,42,27,100
game_knowledge_jsonl/grade3/toan3tap2-ketnoitrithucvoicuocsong2c196_5120269.jsonl,5,200,104,75,34,120
game_knowledge_jsonl/grade3/tunhienvaxahoi3-ketnoitrithucvoicuocsongb4ba3_5120269.jsonl,16,517,282,101,96,325
game_knowledge_jsonl/grade4/sach-giao-khoa-khoa-hoc-lop-4-ket-noi-tri-thuc-pdfac7d0_5120269.jsonl,10,314,185,59,59,196
game_knowledge_jsonl/grade4/sach-giao-khoa-lich-su-va-dia-li-lop-4-ket-noi-tri-thuc-pdfd98aa_5120269.jsonl,30,962,484,200,143,680
game_knowledge_jsonl/grade4/sach-giao-khoa-tieng-viet-lop-4-tap-1-ket-noi-tri-thuc-pdfe60b1_5120269.jsonl,97,2120,1254,271,297,1733
game_knowledge_jsonl/grade4/sach-giao-khoa-tieng-viet-lop-4-tap-2-ket-noi-tri-thuc-pdfc509e_5120269.jsonl,87,1899,1133,255,267,1521
game_knowledge_jsonl/grade4/sgkamnhacknttaaea0_5120269.jsonl,26,554,297,71,87,432
game_knowledge_jsonl/grade4/sgktoanhoctap1knttf29ff_5120269.jsonl,5,200,120,69,40,120
game_knowledge_jsonl/grade4/sgktoanhoctap2kntt26b80_5120269.jsonl,14,480,261,88,90,327
game_knowledge_jsonl/grade5/sgk-am-nhac-5-kntt_5120269.jsonl,35,673,341,90,108,548
game_knowledge_jsonl/grade5/sgk-cong-nghe-5-kntt_5120269.jsonl,4,141,82,43,29,85
game_knowledge_jsonl/grade5/sgk-lich-su-va-dia-li-5-kntt_5120269.jsonl,42,1363,791,300,125,915
game_knowledge_jsonl/grade5/sgk-tieng-anh-5-tap-1-globalsuccess_5120269.jsonl,43,902,418,103,138,823
game_knowledge_jsonl/grade5/sgk-tieng-anh-5-tap-2-globalsuccess_5120269.jsonl,49,1021,490,112,142,985
game_knowledge_jsonl/grade5/sgk-tieng-viet-5-tap-1-kntt_5120269.jsonl,95,2393,1418,419,280,1764
game_knowledge_jsonl/grade5/sgk-tieng-viet-5-tap-2-kntt_5120269.jsonl,90,2407,1344,399,316,1762
game_knowledge_jsonl/grade5/sgk-tin-hoc-5-kntt_5120269.jsonl,33,904,469,205,132,607
